Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,XBRL_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
Jindal Worldwide Ltd.,JINDWORLD,Textiles & Apparel,6768.113176049001,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1516745_23082025061725_WEB.xml,23-Aug-2025,True,data\brsr_xbrl\JINDWORLD_Jindal Worldwide Ltd_BRSR.xml,627.09375
Indo Count Industries Ltd.,ICIL,Textiles & Apparel,6643.270644432,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1497093_29072025074337_WEB.xml,29-Jul-2025,True,data\brsr_xbrl\ICIL_Indo Count Industries Ltd_BRSR.xml,687.2724609375
Gokaldas Exports Ltd.,GOKEX,Textiles & Apparel,5391.6106072505,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1516810_24082025083756_WEB.xml,24-Aug-2025,True,data\brsr_xbrl\GOKEX_Gokaldas Exports Ltd_BRSR.xml,678.6591796875
Lux Industries Ltd.,LUXIND,Textiles & Apparel,3919.556303784,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520461_31082025104703_WEB.xml,31-Aug-2025,True,data\brsr_xbrl\LUXIND_Lux Industries Ltd_BRSR.xml,669.1376953125
Pearl Global Industries Ltd.,PGIL,Textiles & Apparel,2695.9542674040003,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1475242_30062025083607_WEB.xml,30-Jun-2025,True,data\brsr_xbrl\PGIL_Pearl Global Industries Ltd_BRSR.xml,727.3408203125
Ganesha Ecosphere Ltd.,GANECOS,Textiles & Apparel,2615.255402886,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1522591_03092025115121_WEB.xml,03-Sep-2025,True,data\brsr_xbrl\GANECOS_Ganesha Ecosphere Ltd_BRSR.xml,624.3056640625
Kitex Garments Ltd.,KITEX,Textiles & Apparel,1453.7233536585,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1517969_26082025073724_WEB.xml,26-Aug-2025,True,data\brsr_xbrl\KITEX_Kitex Garments Ltd_BRSR.xml,611.841796875
Raymond Lifestyle Ltd.,RAYMONDLSL,Textiles & Apparel,0.0,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481728_13072025112002_WEB.xml,13-Jul-2025,True,data\brsr_xbrl\RAYMONDLSL_Raymond Lifestyle Ltd_BRSR.xml,715.1611328125
NTPC Ltd.,NTPC,Power Generation,332600.9008917805,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1505695_07082025063546_WEB.xml,07-Aug-2025,True,data\brsr_xbrl\NTPC_NTPC Ltd_BRSR.xml,854.484375
Power Grid Corporation of India Ltd.,POWERGRID,Power Generation,265104.404097148,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1501353_03082025081853_WEB.xml,03-Aug-2025,True,data\brsr_xbrl\POWERGRID_Power Grid Corporation of Indi_BRSR.xml,944.7685546875
Adani Power Ltd.,ADANIPOWER,Power Generation,233359.540641503,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467091_16062025045831_WEB.xml,16-Jun-2025,True,data\brsr_xbrl\ADANIPOWER_Adani Power Ltd_BRSR.xml,866.2333984375
Adani Energy Solutions Ltd.,ADANIENSOL,Power Generation,118282.837548594,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478968_08072025072115_WEB.xml,08-Jul-2025,True,data\brsr_xbrl\ADANIENSOL_Adani Energy Solutions Ltd_BRSR.xml,1174.712890625
