Company_Name,NSE_Symbol,Sector,XBRL_URL,Download_Success,Status,File_Size_KB
PI INDUSTRIES LIMITED,PIIND,Chemicals,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1489695_21072025075954_WEB.xml,True,Success,860.4228515625
Schaeffler India Limited,SCHAEFFLER,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1444134_20052025034939_WEB.xml,True,Success,884.1982421875
Astral Limited,ASTRAL,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1500946_02082025023329_WEB.xml,True,Success,778.16796875
L&T Technology Services Limited,LTTS,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1449613_23052025100148_WEB.xml,True,Success,789.8427734375
PATANJALI FOODS LIMITED,PATANJALI,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1523075_04092025070357_WEB.xml,True,Success,712.751953125
Central Bank of India,CENTRALBK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1478347_07072025071110_WEB.xml,True,Success,705.9990234375
JSW Infrastructure Limited,JSWINFRA,Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1469559_23062025022545_WEB.xml,True,Success,764.7119140625
TATA COMMUNICATIONS LIMITED,TATACOMM,Telecommunication,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1467345_16062025103334_WEB.xml,True,Success,932.8935546875
Aditya Birla Capital Limited,ABCAPITAL,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1490887_22072025095545_WEB.xml,True,Success,842.9384765625
THE PHOENIX MILLS LIMITED,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1524399_06092025055308_WEB.xml,True,Success,754.078125
PB FINTECH LIMITED,POLICYBZR,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1525512_09092025084650_WEB.xml,True,Success,733.3671875
Mazagon Dock Shipbuilders Limited,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1518943_28082025111240_WEB.xml,True,Success,804.81640625
Balkrishna Industries Limited,BALKRISIND,Automobile and Auto Components,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477538_04072025072416_WEB.xml,True,Success,846.1826171875
Bharti Hexacom Limited,BHARTIHEXA,Telecommunication,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1494194_25072025102314_WEB.xml,True,Success,802.4091796875
Thermax Limited,THERMAX,Capital Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477745_05072025040208_WEB.xml,True,Success,860.6513671875
UNITED BREWERIES LIMITED,UBL,Fast Moving Consumer Goods,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482607_14072025095828_WEB.xml,True,Success,799.5947265625
SJVN Limited,SJVN,Power,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1520838_01092025060307_WEB.xml,True,Success,861.5576171875
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,,,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1534100_26092025045822_WEB.xml,True,Success,766.560546875
Tata Elxsi Limited,TATAELXSI,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468397_19062025024403_WEB.xml,True,Success,747.9306640625
ACC Limited,ACC,Construction Materials,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1466451_13062025050528_WEB.xml,True,Success,793.2021484375
Dixon Technologies (India) Limited,DIXON,Consumer Durables,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1521118_01092025115448_WEB.xml,True,Success,754.2890625
Mphasis Limited,MPHASIS,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1476052_01072025071518_WEB.xml,True,Success,799.759765625
SUNDARAM FINANCE LIMITED,SUNDARMFIN,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473780_27062025080707_WEB.xml,True,Success,775.6162109375
AU Small Finance Bank Limited,AUBANK,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484830_16072025084625_WEB.xml,True,Success,748.359375
Tata Technologies Limited,TATATECH,Information Technology,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1468286_18062025084101_WEB.xml,True,Success,718.9755859375
Indian Renewable Energy Development Agency Limited,IREDA,Financial Services,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1482260_14072025051313_WEB.xml,True,Success,717.66015625
