Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,64.0,0.0,141.0,6.0665e-06,0.0,33099.0,0.0,98641.0,527824.0,9914985.0,6895301.0,5955057.0,940244.0,40181.0,144121.0,103937.0,1204582.0,3155701.0,1.268e-07,102655.0,1282.0,1.7166e-06,10.0,0.504,Chemicals & Fertilizers,Tier 2,10.0,25,100.0
SAPPHIRE FOODS INDIA LIMITED,2.0,0.0,140.0,2.48e-08,0.0,0.0,0.0,33624.0,69360.0,84484.0,606.8,604.0,2.8,4851.0,5632.0,780.0,662485.0,828107.0,2.298e-07,780.0,0.0,6.7571e-06,5.0,0.612,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
SARDA ENERGY  MINERALS LIMITED,7.13,0.03,7.27,0.0010922644,0.0,1.0,0.0,0.0,0.0,0.0,38056349.56,38056349.02,0.54,147936.0,1497026.16,193982.0,0.0,8344302.0,4.29665e-05,117918.0,76064.0,0.0002394918,,1.375,Power Generation,Tier 2,,23,92.0
SAREGAMA India Limited,3.3,0.0,10.9,0.0003860732,0.0,7.8,0.0,314.4,764.8,1406.1,3896300.1,3896300.1,0.0,0.0,25.7,25.8,0.0,0.0,2.5e-09,25.8,0.0,4.344e-07,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
SBFC Finance Limited,0.0,0.0,0.77,1.1951e-06,,1.92,0.0,0.0,3149.7,,15596.88,15596.88,0.0,0.0,6.1,0.0,0.0,4857.6,5e-10,0.0,0.0,3.722e-07,0.1,0.576,Chemicals & Fertilizers,Tier 2,0.1,23,92.0
SBI Cards and Payment Services Limited,0.0,0.02,0.0,6.71e-08,,2.197,0.0,197.7,2461.22,43007.58,12514.48,12187.49,326.99,13.1,94.033,80.71,0.0,26111.82,5e-10,71.32,2.54,1.401e-07,0.1,0.624,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
SBI Life Insurance Company Limited,52.69,0.0,3.62,9.91e-08,,0.14,0.0,4108.54,16384.35,76174.59,84178.02,81393.06,2784.96,13.1,75.39,5.98,1533.0,35723.01,1e-10,5.98,0.0,4.2e-08,0.1,0.696,Chemicals & Fertilizers,Tier 2,0.1,24,96.0
SHIPPING CORPORATION OF INDIA LIMITED,1.5,3.3,27.4,24.762588152,0.0,197.65,0.0,1079307.0,0.0,,13848056.46,13848056.46,0.0,1190.3,1358.91,0.0,18250.0,190382.5,0.0024299532,0.0,0.0,0.3404350244,0.2,0.54,Chemicals & Fertilizers,Tier 2,0.2,24,96.0
SJVN Limited,0.0,0.3,3.3,2.0335e-06,0.0,1.4,0.0,476.0,3118.2,,58916.54,21885.8,37030.74,349.0,498.9,72.0,157111.0,466756.0,1.72e-08,72.0,0.0,1.06875e-05,100.0,0.504,Chemicals & Fertilizers,Tier 2,100.0,24,96.0
SKF INDIA LIMITED,0.0,0.0,10.1,5.4597e-06,0.0,84.9,0.0,667.0,19950.0,,268612.0,109254.0,159358.0,2096.0,5150.0,3054.0,0.0,209158.0,1.047e-07,3054.0,0.0,4.2513e-06,5.0,0.612,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
SRF LIMITED,2.0,0.0152,7.0,1.116e-07,0.0,4315.0,0.0,988667.0,393064.0,,13052.0,11385.0,1667.0,48729.0,680186.0152,622150.0,485378.0,5537378.0,5.8146e-06,331257.0,118374.0,4.32186e-05,20.0,0.66,Chemicals & Fertilizers,Tier 2,20.0,24,96.0
STATE BANK OF INDIA,879.16,0.0,215.9,8.779e-07,,683.42,0.0,49583.35,656819.49,48494.39,4225789.0,3921745.0,304044.0,4081.61,4926.3,844.03,1254312.36,2822203.0,1e-09,843.03,1.0,3.257e-07,0.1,0.0062,Financial Services,Tier 2,0.1,24,96.0
